,Timestamp,Age ,Gender ,Income , Occupation,Fav_Pub,WTS,Freq,Prim_Imp,Sec_Imp,Stratum,Lifestyle,Occasions
16,2017/02/25 10:59:18 PM GMT+4,18,Male,0.0,Student,Station,2000.0,Several times in a month,Environment,Music,Capital,Sport,Hang outs with friends
17,2017/02/25 10:59:25 PM GMT+4,19,Female,50000.0,Student,I don't like pubs,8000.0,rarely (once two week/or a month),Environment,Music,Rural,"Sport, art, traveling",Birthdays
18,2017/02/25 10:59:28 PM GMT+4,17,Female,0.0,Student,37 pub,5000.0,rarely (once two week/or a month),Environment,Pricing,Urban,Art,Hang outs with friends
19,2017/02/25 10:59:52 PM GMT+4,19,Female,200000.0,Student + working,I don't like pubs,2000.0,rarely (once two week/or a month),Environment,Music,Urban,Adventure/traveling/exploring,Birthdays
20,2017/02/25 10:59:59 PM GMT+4,17,Male,0.0,Student,37 pub,7000.0,rarely (once two week/or a month),Environment,Music,Capital,"Busy(student life, work)",Hang outs with friends
21,2017/02/25 11:01:22 PM GMT+4,19,Male,0.0,Student,Venue ,10000.0,Several times a week,Environment,Music,Capital,Nightlife,Hang outs with friends
22,2017/02/25 11:02:07 PM GMT+4,21,Male,130000.0,Student,37 pub,2000.0,rarely (once two week/or a month),Environment,Pricing,Urban,Sport,Hang outs with friends
23,2017/02/25 11:02:13 PM GMT+4,18,Male,100000.0,Student + working,Irish,3000.0,Several times in a month,Environment,Menu,Capital,,Hang outs with friends
24,2017/02/25 11:02:28 PM GMT+4,18,Female,50000.0,Student,Cantaloupe,2000.0,rarely (once two week/or a month),Music,Environment,Capital,Adventure/traveling/exploring,Hang outs with friends
25,2017/02/25 11:05:04 PM GMT+4,18,Female,40000.0,Student,Irish,2000.0,Several times in a month,Menu,Pricing,Capital,Art,Hang outs with friends
26,2017/02/25 11:05:10 PM GMT+4,20,Female,100000.0,Student,Cantaloupe,2000.0,Several times in a month,Environment,Menu,Capital,"Busy(student life, work)",Hang outs with friends
27,2017/02/25 11:05:29 PM GMT+4,18,Female,80000.0,Student,Irish,5000.0,rarely (once two week/or a month),Environment,Menu,Capital,Adventure/traveling/exploring,Hang outs with friends
28,2017/02/25 11:05:32 PM GMT+4,18,Male,25000.0,Student,Station,3500.0,rarely (once two week/or a month),Menu,Music,Urban,Adventure/traveling/exploring,Special events/parties
29,2017/02/25 11:06:08 PM GMT+4,20,Male,60000.0,Student,Cantaloupe,20000.0,rarely (once two week/or a month),Environment,Music,Capital,Art,Hang outs with friends
30,2017/02/25 11:07:07 PM GMT+4,18,Female,0.0,Student,,1500.0,Several times in a month,Environment,Menu,Capital,,Hang outs with friends
31,2017/02/25 11:07:08 PM GMT+4,19,Female,0.0,Student,Calumet,4000.0,rarely (once two week/or a month),Environment,Pricing,Capital,Art,Hang outs with friends
32,2017/02/25 11:07:24 PM GMT+4,17,Male,0.0,Student,Calumet,5000.0,rarely (once two week/or a month),Environment,Pricing,Capital,Art,Hang outs with friends
33,2017/02/25 11:07:41 PM GMT+4,21,Female,80000.0,Student,Calumet,5000.0,rarely (once two week/or a month),Environment,Music,Urban,Art,Special events/parties
34,2017/02/25 11:08:12 PM GMT+4,19,Male,80000.0,Student,Liberty,5000.0,rarely (once two week/or a month),Environment,Music,Urban,Sport,Hang outs with friends
35,2017/02/25 11:08:21 PM GMT+4,18,Male,0.0,Student,Tom Collins ,8000.0,Several times in a month,Environment,Music,Capital,"Rock, punk",Hang outs with friends
36,2017/02/25 11:11:49 PM GMT+4,19,Female,25000.0,Student,Calumet,4000.0,rarely (once two week/or a month),Environment,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
37,2017/02/25 11:11:59 PM GMT+4,18,Male,50000.0,Student,Bulldog,7000.0,Several times a week,Environment,Music,Capital,,Hang outs with friends
38,2017/02/25 11:12:19 PM GMT+4,19,Male,55000.0,Student,Station,2000.0,Several times in a month,Environment,Music,Capital,Art,Hang outs with friends
